Date,Good time to Buy,Uncertain,Bad time to Buy,Relative
1988-07-31,62.0,10.0,28.0,134.0
1988-06-30,62.0,11.0,27.0,135.0
1988-05-31,64.0,10.0,26.0,138.0
1988-04-30,63.0,12.0,25.0,138.0
1988-03-31,62.0,8.0,30.0,132.0
1988-02-29,59.0,13.0,28.0,131.0
1988-01-31,59.0,11.0,30.0,129.0
1987-12-31,64.0,6.0,30.0,134.0
1987-11-30,57.0,8.0,35.0,122.0
1987-10-31,58.0,11.0,31.0,127.0
1987-09-30,66.0,9.0,25.0,141.0
1987-08-31,66.0,9.0,25.0,141.0
1987-07-31,67.0,11.0,22.0,145.0
1987-06-30,65.0,10.0,25.0,140.0
1987-05-31,67.0,9.0,24.0,143.0
1987-04-30,64.0,8.0,28.0,136.0
1987-03-31,66.0,7.0,27.0,139.0
1987-02-28,62.0,9.0,29.0,133.0
1987-01-31,55.0,9.0,36.0,119.0
1986-12-31,64.0,7.0,29.0,135.0
1986-11-30,63.0,6.0,31.0,132.0
1986-10-31,72.0,7.0,21.0,151.0
1986-09-30,81.0,3.0,16.0,165.0
1986-08-31,73.0,8.0,19.0,154.0
1986-07-31,74.0,6.0,20.0,154.0
1986-06-30,77.0,5.0,18.0,159.0
1986-05-31,75.0,6.0,19.0,156.0
1986-04-30,73.0,5.0,22.0,151.0
1986-03-31,74.0,8.0,18.0,156.0
1986-02-28,73.0,6.0,21.0,152.0
1986-01-31,71.0,9.0,20.0,151.0
1985-12-31,63.0,9.0,28.0,135.0
1985-11-30,68.0,8.0,24.0,144.0
1985-10-31,65.0,7.0,28.0,137.0
1985-09-30,72.0,6.0,22.0,150.0
1985-08-31,64.0,10.0,26.0,138.0
1985-07-31,67.0,10.0,23.0,144.0
1985-06-30,67.0,7.0,26.0,141.0
1985-05-31,65.0,5.0,30.0,135.0
1985-04-30,68.0,6.0,26.0,142.0
1985-03-31,67.0,6.0,27.0,140.0
1985-02-28,61.0,9.0,30.0,131.0
1985-01-31,62.0,8.0,30.0,132.0
1984-12-31,55.0,10.0,35.0,120.0
1984-11-30,55.0,8.0,37.0,118.0
1984-10-31,54.0,12.0,34.0,120.0
1984-09-30,59.0,6.0,35.0,124.0
1984-08-31,59.0,11.0,30.0,129.0
1984-07-31,62.0,10.0,28.0,134.0
1984-06-30,60.0,10.0,30.0,130.0
1984-05-31,63.0,9.0,28.0,135.0
1984-04-30,59.0,11.0,30.0,129.0
1984-03-31,66.0,10.0,24.0,142.0
1984-02-29,62.0,10.0,28.0,134.0
1984-01-31,64.0,12.0,24.0,140.0
1983-12-31,56.0,11.0,33.0,123.0
1983-11-30,59.0,9.0,32.0,127.0
1983-10-31,59.0,7.0,34.0,125.0
1983-09-30,61.0,7.0,32.0,129.0
1983-08-31,65.0,7.0,28.0,137.0
1983-07-31,65.0,8.0,27.0,138.0
1983-06-30,63.0,9.0,28.0,135.0
1983-05-31,66.0,5.0,29.0,137.0
1983-04-30,66.0,5.0,29.0,137.0
1983-03-31,56.0,8.0,36.0,120.0
1983-02-28,57.0,6.0,37.0,120.0
1983-01-31,51.0,8.0,41.0,110.0
1982-12-31,53.0,8.0,39.0,114.0
1982-11-30,46.0,8.0,46.0,100.0
1982-10-31,44.0,10.0,46.0,98.0
1982-09-30,40.0,11.0,49.0,91.0
1982-08-31,35.0,11.0,54.0,81.0
1982-07-31,37.0,11.0,52.0,85.0
1982-06-30,40.0,6.0,54.0,86.0
1982-05-31,44.0,10.0,46.0,98.0
1982-04-30,40.0,9.0,51.0,89.0
1982-03-31,39.0,8.0,53.0,86.0
1982-02-28,37.0,12.0,51.0,86.0
1982-01-31,41.0,10.0,49.0,92.0
1981-12-31,34.0,10.0,56.0,78.0
1981-11-30,37.0,9.0,54.0,83.0
1981-10-31,37.0,10.0,53.0,84.0
1981-09-30,34.0,10.0,56.0,78.0
1981-08-31,43.0,10.0,47.0,96.0
1981-07-31,40.0,7.0,53.0,87.0
1981-06-30,33.0,10.0,57.0,76.0
1981-05-31,44.0,7.0,49.0,95.0
1981-04-30,42.0,9.0,49.0,93.0
1981-03-31,39.0,11.0,50.0,89.0
1981-02-28,39.0,11.0,50.0,89.0
1981-01-31,36.0,13.0,51.0,85.0
1980-12-31,33.0,9.0,58.0,75.0
1980-11-30,41.0,15.0,44.0,97.0
1980-10-31,45.0,16.0,39.0,106.0
1980-09-30,42.0,14.0,44.0,98.0
1980-08-31,42.0,12.0,46.0,96.0
1980-07-31,36.0,14.0,50.0,86.0
1980-06-30,37.0,14.0,49.0,88.0
1980-05-31,29.0,10.0,61.0,68.0
1980-04-30,35.0,10.0,55.0,80.0
1980-03-31,45.0,10.0,45.0,100.0
1980-02-29,47.0,8.0,45.0,102.0
1980-01-31,40.0,10.0,50.0,90.0
1979-12-31,44.0,9.0,47.0,97.0
1979-11-30,38.0,10.0,52.0,86.0
1979-10-31,45.0,9.0,46.0,99.0
1979-09-30,44.0,11.0,45.0,99.0
1979-08-31,38.0,14.0,48.0,90.0
1979-07-31,32.0,16.0,52.0,80.0
1979-06-30,37.0,13.0,50.0,87.0
1979-05-31,40.0,12.0,48.0,92.0
1979-04-30,45.0,12.0,43.0,102.0
1979-03-31,47.0,13.0,40.0,107.0
1979-02-28,44.0,17.0,39.0,105.0
1979-01-31,46.0,16.0,38.0,108.0
1978-12-31,42.0,22.0,36.0,106.0
1978-11-30,39.0,21.0,40.0,99.0
1978-10-31,50.0,14.0,36.0,114.0
1978-09-30,46.0,18.0,36.0,110.0
1978-08-31,40.0,18.0,42.0,98.0
1978-07-31,52.0,15.0,33.0,119.0
1978-06-30,53.0,14.0,33.0,120.0
1978-05-31,50.0,18.0,32.0,118.0
1978-04-30,51.0,17.0,32.0,119.0
1978-03-31,55.0,13.0,32.0,123.0
1978-02-28,45.0,22.0,33.0,112.0
1978-01-31,48.0,17.0,35.0,113.0
